in0,in1,in2,in3
1,0,0,1
1,1,0,0
0,1,1,0
0,0,1,0
1,1,0,1
1,0,0,1
0,0,0,0
0,0,1,0
0,0,0,0
0,1,1,1
0,0,0,0
1,1,1,1
0,0,1,0
1,0,1,1
1,0,0,0
0,0,0,0
0,0,1,0
0,1,1,1
0,1,1,0
1,0,0,1
0,0,1,0
1,0,0,1
1,1,0,0
0,0,1,0
0,0,0,1
1,1,0,0
0,1,1,1
0,0,1,1
1,1,0,1
0,1,0,0
1,1,0,0
0,1,1,1
0,1,0,1
0,0,0,0
1,1,1,1
0,0,1,1
1,0,0,1
1,1,1,0
1,0,0,1
1,0,0,0
1,0,0,0
1,1,0,0
1,0,0,0
1,1,0,0
0,1,1,1
0,0,1,1
1,1,1,1
1,0,1,1
0,0,0,1
1,1,0,0
0,0,0,1
0,1,0,0
0,1,0,1
0,0,1,1
0,0,1,1
0,1,1,1
0,1,0,1
0,1,0,1
1,1,1,0
1,0,1,1
0,1,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,1,1,0
0,1,0,0
0,1,1,1
0,0,1,1
1,0,1,0
0,1,1,0
0,0,1,0
0,0,0,0
1,0,1,0
0,1,1,1
0,1,1,1
0,1,1,0
0,0,0,0
1,1,1,0
0,1,0,1
0,0,0,1
0,1,0,1
1,1,1,0
1,0,0,1
1,1,1,1
1,1,0,0
1,1,1,1
0,0,1,1
1,1,1,1
1,0,0,0
1,1,1,1
0,1,0,1
0,1,1,0
0,0,1,0
1,0,0,0
1,1,1,1
1,0,1,1
1,0,0,1
1,0,1,1
1,1,1,1
0,0,0,1
1,1,1,1
1,1,0,1
0,0,0,0
1,1,0,1
0,1,0,1
0,1,0,1
1,1,0,0
1,0,1,1
0,1,0,0
0,1,0,1
0,1,1,0
1,0,1,0
0,0,1,0
0,0,1,0
0,1,1,1
1,0,1,1
1,0,1,0
1,1,0,0
1,0,0,1
1,1,0,0
0,1,1,0
1,0,1,1
1,0,0,1
0,0,1,1
1,1,1,1
1,1,0,0
1,1,1,1
1,1,0,1
0,0,0,1
0,1,0,1
0,0,1,1
1,1,1,1
1,0,0,0
0,1,0,0
0,1,1,1
1,0,1,1
0,1,0,1
1,1,0,0
1,0,1,1
1,1,0,0
1,1,1,1
0,0,1,0
0,1,0,1
1,0,0,0
0,1,0,0
0,1,0,0
1,0,1,1
1,1,1,1
0,1,1,0
1,1,0,1
1,0,1,0
0,0,1,0
0,0,0,0
1,1,0,1
1,1,0,0
0,1,1,0
1,0,1,1
1,1,1,1
0,0,0,0
0,1,1,1
1,0,0,0
1,1,0,1
1,1,0,1
1,1,1,1
0,0,0,1
0,1,0,1
0,1,1,0
0,0,0,1
0,1,0,1
0,0,1,1
1,1,0,1
1,0,0,0
1,1,1,1
1,1,0,0
0,1,0,0
0,0,1,0
1,0,0,0
0,1,1,0
1,1,0,1
1,1,0,1
1,0,0,1
0,1,0,1
1,1,0,1
1,0,1,1
1,0,0,0
1,1,0,1
1,1,1,1
1,1,0,0
1,1,0,0
1,1,0,0
1,0,0,0
0,1,1,1
